Species,LATITUDE,LONGITUDE
Artibeus obscurus,-0.394530556,-76.33777778
Artibeus obscurus,-0.133333333,-77.18333333
Artibeus obscurus,-1.098611111,-75.64944444
Artibeus obscurus,-1.033333333,-76.18333333
Artibeus obscurus,-1.005555556,-77.06388889
Artibeus obscurus,-0.925555556,-76.69138889
Artibeus obscurus,-0.901111111,-76.2175
Artibeus obscurus,-0.900555556,-75.59944444
Artibeus obscurus,-0.9,-76.76666667
Artibeus obscurus,-0.869722222,-75.90694444
Artibeus obscurus,-0.865555556,-75.92444444
Artibeus obscurus,-0.833333333,-76.35
Artibeus obscurus,-0.833333333,-76.33333333
Artibeus obscurus,-0.831666667,-77.4775
Artibeus obscurus,-0.823888889,-76.455
Artibeus obscurus,-0.792222222,-75.90170556
Artibeus obscurus,-0.783333333,-76.43333333
Artibeus obscurus,-0.780277778,-77.46277778
Artibeus obscurus,-0.774444444,-76.20222222
Artibeus obscurus,-0.766666667,-77.3
Artibeus obscurus,-0.75,-77.46861111
Artibeus obscurus,-0.75,-76.76666667
Artibeus obscurus,-0.739166667,-76.72027778
Artibeus obscurus,-0.725833333,-76.72583333
Artibeus obscurus,-0.721111111,-77.42333333
Artibeus obscurus,-0.7,-77.33333333
Artibeus obscurus,-0.699721,-77.43000021
Artibeus obscurus,-0.695016,-76.72716971
Artibeus obscurus,-0.694444444,-76.67083333
Artibeus obscurus,-0.691509,-75.918113
Artibeus obscurus,-0.683333333,-76.43333333
Artibeus obscurus,-0.665833333,-75.91916667
Artibeus obscurus,-0.65,-76.45
Artibeus obscurus,-0.648330556,-75.91361944
Artibeus obscurus,-0.633333333,-77.41666667
Artibeus obscurus,-0.633333333,-76.45
Artibeus obscurus,-0.624444444,-76.47217222
Artibeus obscurus,-0.623611111,-77.35833333
Artibeus obscurus,-0.623012,-76.50573337
Artibeus obscurus,-0.621944444,-76.49361111
Artibeus obscurus,-0.616666667,-75.33333333
Artibeus obscurus,-0.615436111,-75.88103056
Artibeus obscurus,-0.606777,-76.46623425
Artibeus obscurus,-0.595263889,-76.051625
Artibeus obscurus,-0.583333333,-76.48333333
Artibeus obscurus,-0.5325,-76.11694444
Artibeus obscurus,-0.5,-77.31666667
Artibeus obscurus,-0.483333333,-76.35
Artibeus obscurus,-0.476666667,-75.865
Artibeus obscurus,-0.45,-76.65
Artibeus obscurus,-0.433333333,-77.18333333
Artibeus obscurus,-0.312222222,-77.16805556
Artibeus obscurus,-0.183333333,-76.9
