OBJECTID,Family,Species,Trophic_Guild,Weight,SOURCE,Weight,Source 2,MUSEUM NUMBER ,Provincia,Localidad,Lat,Long,LATITUDE,LONGITUDE,Elevation,Reference,,,,,,,,
55,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,ROM 106361,Orellana,Parque Nacional Yasuni,-0.65,-76.45,-0.650000,-76.450000,220,Clare et al. 2011,,,,,,,,
56,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,ROM 106363,Orellana,Parque Nacional Yasuni,-0.65,-76.45,-0.650000,-76.450000,220,Clare et al. 2011,,,,,,,,
57,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,ROM 106163,Orellana,"Parque Nacional Yasuni, 38 KM S of Pompeya Sur","00 38' 00"" S","76 27' 00"" W",-0.633333,-76.450000,220,"Reid et al. 2000, Clare et al. 2011",,,,,,,,
58,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 10473,Orellana,"Guiyero, Poblado, Km 32 de la vía Pompeya-Iro","00 36' 24"" W","76 27' 58.44"" W",-0.606777,-76.466234,220,Albuja-V & Arguero 2011,,,,,,,,
59,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,QCAZ 11013,Orellana,El Eden,00 31' S,76 06' W,-0.516667,-76.100000,220,Tirira & Arévalo 2012,,,,,,,,
60,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,QCAZ 11014,Orellana,El Eden,00 31' S,76 06' W,-0.516667,-76.100000,220,Tirira & Arévalo 2012,,,,,,,,
61,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,AMNH 68039,Orellana,San Jose Nuevo,00 26' S,77 20' W,-0.433333,-77.333333,500,Tirira & Arévalo 2012,,,,,,,,
62,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,FMNH 43120,Pastaza,Rio Capahuari,02 05' S,77 10' W,-2.083333,-77.166667,400,Sanborn 1937,,,,,,,,
63,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,FMNH 43121,Pastaza,Rio Capahuari,02 05' S,77 10' W,-2.083333,-77.166667,400,Sanborn 1937,,,,,,,,
64,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 289,Pastaza,Río Copataza,02°05'  S,77°27'  W,-2.083333,-77.450000,450,This Publication,,,,,,,,
